League,Date,Home Team,Away Team,Home Team Possession 1st Half,Home Team Possession 2nd Half,Possession Difference
England,01/11/2015,Southampton,Bournemouth,68.5%,25.9%,42.6%
France,14/01/2012,AC Ajaccio,Auxerre,68.1%,31.3%,36.8%
England,27/08/2016,Crystal Palace,Bournemouth,39.1%,75.6%,36.5%
France,31/10/2015,GFC Ajaccio,Bordeaux,63.5%,27.8%,35.7%
Italy,09/11/2014,Inter,Verona,77.5%,42.8%,34.7%
Champions League,01/10/2014,Arsenal,Galatasaray,66.6%,32.2%,34.4%
