squad,comp,season,goals,shots,xg_statsbomb,elo,xg_location,xg_header,xg_buildup
Chelsea,eng Premier League,2017/2018,60,607,55.7,1907.193481,58.27074373,58.79040856,58.65571912
Chievo,it Serie A,2018/2019,25,388,35.9,1556.615112,39.02264931,36.45990851,36.83929377
Chievo,it Serie A,2017/2018,36,396,32.2,1552.386353,37.94465299,35.05892819,34.75927116
Crotone,it Serie A,2017/2018,38,385,36.2,1525.584473,35.17969758,36.62407453,35.79852697
Crystal Palace,eng Premier League,2019/2020,29,372,34,1742.566406,40.18611209,39.24727471,38.02961806
Crystal Palace,eng Premier League,2018/2019,48,489,50.1,1689.066528,52.36174985,52.53823323,51.16773144
Crystal Palace,eng Premier League,2017/2018,44,467,53,1640.714844,54.31019162,55.08709303,53.19424668
Depor,es La Liga,2017/2018,38,466,49.2,1650.289063,53.2095465,50.95626559,49.75159724
Dijon,fr Ligue 1,2019/2020,26,337,28.8,1497.821411,29.90692644,28.70857284,27.84480251
Dijon,fr Ligue 1,2018/2019,29,451,39.6,1549.915405,39.39857053,38.63342696,37.40800222
Dijon,fr Ligue 1,2017/2018,52,455,42.9,1534.467896,38.39710414,37.63931186,38.18495599
Dortmund,de Bundesliga,2019/2020,84,443,59.2,1822.791626,47.44981485,51.87602211,51.8288954
Dortmund,de Bundesliga,2018/2019,80,444,58.3,1738.953735,51.72307318,56.04854724,55.97642153
Dortmund,de Bundesliga,2017/2018,62,472,63.6,1863.906616,55.35152641,59.64318083,60.90596945
Duesseldorf,de Bundesliga,2019/2020,36,424,33,1604.139038,36.68701285,33.73874017,33.21015069
Duesseldorf,de Bundesliga,2018/2019,48,405,46.7,1472.630005,43.15513677,43.72285326,43.54953756
Eibar,es La Liga,2019/2020,38,417,41.3,1709.120605,48.23889675,43.6133253,42.73383743
Eibar,es La Liga,2018/2019,46,519,50.8,1723.688477,61.51399857,57.91935938,58.2879907
Eibar,es La Liga,2017/2018,43,488,39.9,1711.503174,45.6025171,41.76389057,41.49283652
Empoli,it Serie A,2018/2019,48,454,52.1,1586.42749,50.35634384,54.80734851,54.28113528
Espanyol,es La Liga,2019/2020,25,400,33,1735.938354,41.88160336,39.49515673,39.67032833
Espanyol,es La Liga,2018/2019,44,464,48.8,1727.718994,45.50712166,46.83646327,47.14845178
Espanyol,es La Liga,2017/2018,33,422,42.9,1722.63562,41.9947968,41.02203884,42.17917088
Everton,eng Premier League,2019/2020,42,465,49.3,1769.569824,56.53785756,54.14619679,52.22220103
Everton,eng Premier League,2018/2019,53,494,46.5,1695.648926,55.83218271,52.86939495,51.83867166
Everton,eng Premier League,2017/2018,42,356,39.6,1748.344482,45.15578153,43.37659247,43.03723492
Fiorentina,it Serie A,2019/2020,49,543,54.6,1591.817139,53.76501125,52.81650422,52.76566377
Fiorentina,it Serie A,2018/2019,45,577,52.3,1681.666382,56.20017466,54.88410991,53.46359647
Fiorentina,it Serie A,2017/2018,53,624,57.4,1672.353882,55.52713458,54.56188958,54.29840053
Frankfurt,de Bundesliga,2019/2020,57,492,52.5,1745.701294,59.60258439,58.43556165,57.58497921
Frankfurt,de Bundesliga,2018/2019,60,402,55.4,1628.392456,50.65224725,51.15134562,50.76018078
Frankfurt,de Bundesliga,2017/2018,44,387,43.4,1633.119629,39.35423421,40.19122453,39.45971846
Freiburg,de Bundesliga,2019/2020,46,435,41.7,1596.01416,48.12678401,47.07320993,45.6985941
Freiburg,de Bundesliga,2018/2019,44,414,42.2,1574.066772,39.47678682,39.4247624,38.55386058
Freiburg,de Bundesliga,2017/2018,32,369,41.2,1653.474487,39.153889,38.76458197,37.9011623
Frosinone,it Serie A,2018/2019,28,436,35.6,1498.182251,44.02340387,39.94452207,39.3548544
Fulham,eng Premier League,2018/2019,33,438,39.7,1629.979492,43.67954803,40.67396913,40.08223668
Genoa,it Serie A,2019/2020,46,418,47.4,1537.4729,51.34584134,50.58153239,50.78084778
Genoa,it Serie A,2018/2019,37,526,43.7,1560.265381,53.13486974,49.39956802,48.91666745
Genoa,it Serie A,2017/2018,31,421,43.3,1537.313599,46.51320644,45.58070388,45.99474538
Getafe,es La Liga,2019/2020,42,397,37.9,1757.527344,43.01464949,41.73058403,41.95992849
Getafe,es La Liga,2018/2019,47,385,44.7,1719.952148,46.91066717,47.47005043,47.17311687
Getafe,es La Liga,2017/2018,41,368,46.4,1650.242432,44.4534852,44.85398674,43.69967463
Girona,es La Liga,2018/2019,37,394,38.5,1662.557007,45.35301202,40.81890055,41.43861023
Girona,es La Liga,2017/2018,50,462,49,1612.478882,52.50451905,48.03902071,47.38260199
Gladbach,de Bundesliga,2019/2020,64,476,66.4,1693.488403,58.10961594,61.50972106,62.39160116
Gladbach,de Bundesliga,2018/2019,53,440,51.1,1660.670898,47.64441515,49.74189745,48.49351077
Gladbach,de Bundesliga,2017/2018,46,447,51.4,1723.476929,48.78095005,49.72547101,48.73297298
Granada,es La Liga,2019/2020,50,384,41,1596.25647,43.94062201,43.58814074,43.18100285
Guingamp,fr Ligue 1,2018/2019,28,417,39.7,1558.487427,43.25200607,41.69006351,41.76385094
Guingamp,fr Ligue 1,2017/2018,46,462,45.4,1572.553467,44.21098029,43.42916084,42.75267702
Hamburg,de Bundesliga,2017/2018,28,390,37.1,1637.855835,37.46962594,37.10836304,35.6683948
Hannover,de Bundesliga,2018/2019,30,380,33.8,1576.716919,36.82912104,35.27472142,34.73840213
Hannover,de Bundesliga,2017/2018,44,435,46.1,1595.992554,47.33490579,46.39516343,46.28972402
Hertha,de Bundesliga,2019/2020,46,359,40.6,1636.962891,39.75216614,39.04207096,39.41627561
Hertha,de Bundesliga,2018/2019,49,394,48,1609.993164,47.97966859,46.47397389,47.24273151
Hertha,de Bundesliga,2017/2018,43,317,39.9,1651.63501,37.58440764,37.482511,37.20503131
Hoffenheim,de Bundesliga,2019/2020,52,444,49.9,1726.841309,54.36495341,52.92444837,52.55579959
Hoffenheim,de Bundesliga,2018/2019,69,596,73.2,1712.226074,72.92506748,74.72183394,76.71335437
Hoffenheim,de Bundesliga,2017/2018,64,470,51.8,1771.500366,48.75166514,49.50214326,49.76886548
Huddersfield,eng Premier League,2018/2019,20,400,28.9,1563.236572,36.02995766,33.3063735,32.82246381
Huddersfield,eng Premier League,2017/2018,25,364,32.6,1473.692261,34.09716271,34.43723616,33.51409221
Huesca,es La Liga,2018/2019,43,470,45.9,1602.670898,55.18901735,53.54507757,53.6249573
Inter,it Serie A,2019/2020,80,616,72.1,1730.539429,69.42941085,68.72897212,68.83942286
Inter,it Serie A,2018/2019,57,619,64.4,1751.402954,68.9112752,66.57459427,66.09994897
Inter,it Serie A,2017/2018,64,584,60.9,1689.94458,61.62670676,60.13943629,59.83721579
Juventus,it Serie A,2019/2020,73,667,68.9,1868.16394,68.02048065,68.86656041,68.09363867
Juventus,it Serie A,2018/2019,66,599,58.3,1957.757813,64.04857638,63.82119123,62.32223381
Juventus,it Serie A,2017/2018,82,564,59.7,1942.302368,53.94360717,55.22966081,55.37949905
Koeln,de Bundesliga,2019/2020,50,413,47.2,1566.987549,48.91161707,46.3139186,45.74233135
Koeln,de Bundesliga,2017/2018,33,395,42.2,1710.49646,39.93876284,41.31300332,41.30939442
Las Palmas,es La Liga,2017/2018,24,417,38,1633.62085,37.93800882,36.66542118,36.27965882
Lazio,it Serie A,2019/2020,77,564,68.4,1659.110474,61.90940392,62.41671456,62.44358948
Lazio,it Serie A,2018/2019,54,612,56.4,1752.610107,59.54419247,59.48736168,58.67337624
Lazio,it Serie A,2017/2018,86,557,63.2,1699.342285,59.97167672,57.36484415,57.1061638
Lecce,it Serie A,2019/2020,52,511,53.9,1455.737061,55.38198486,54.75100574,55.22060125
Leganes,es La Liga,2019/2020,30,421,37.3,1667.290405,41.04252657,39.79359305,39.85185204
Leganes,es La Liga,2018/2019,36,407,37.4,1633.491699,47.29205357,40.79983302,42.53559529
Leganes,es La Liga,2017/2018,32,408,40,1627.519775,40.26700926,39.89457024,39.09613928
Leicester,eng Premier League,2019/2020,65,533,61.6,1738.567749,61.23781424,62.6287869,62.51722964
Leicester,eng Premier League,2018/2019,48,508,49.4,1693.453613,54.31328835,51.7570476,51.03056346
Leicester,eng Premier League,2017/2018,53,420,45.7,1714.795654,51.20150339,52.27540152,50.34373426
Levante,es La Liga,2019/2020,45,416,41.9,1682.276367,43.45173532,46.94559695,46.70798636
Levante,es La Liga,2018/2019,56,425,49.9,1693.483154,45.91328121,47.35160146,46.40400115
Levante,es La Liga,2017/2018,43,422,42.4,1654.410645,38.10291356,39.29974241,39.3897938
Leverkusen,de Bundesliga,2019/2020,57,490,56.6,1760.876709,54.79987127,55.99917333,55.78642888
Leverkusen,de Bundesliga,2018/2019,68,512,62.1,1706.039551,55.48695817,57.16729281,57.92993128
Leverkusen,de Bundesliga,2017/2018,58,507,59.1,1726.976318,51.17970561,52.46433783,52.80486834
Lille,fr Ligue 1,2019/2020,35,346,39.7,1673.608154,37.62185947,36.75694989,35.46315883
Lille,fr Ligue 1,2018/2019,66,487,58.4,1533.190918,51.29053452,51.73514346,51.17947708
Lille,fr Ligue 1,2017/2018,41,441,37.7,1617.868042,32.01685123,31.29413862,31.0329457
Liverpool,eng Premier League,2019/2020,83,585,71.5,2043.545166,65.73032878,69.21937121,69.50757657
Liverpool,eng Premier League,2018/2019,86,568,73.6,1913.570679,70.61208802,72.84139755,72.84226774
Liverpool,eng Premier League,2017/2018,82,638,70.4,1835.32666,64.98197277,68.48857085,69.71396625
Lyon,fr Ligue 1,2019/2020,42,351,37.2,1728.025757,35.52965944,34.95262955,35.14518376
Lyon,fr Ligue 1,2018/2019,70,665,73.7,1764.635498,68.03856572,69.56698509,70.88647382
Lyon,fr Ligue 1,2017/2018,85,602,66.9,1721.107544,54.67680251,56.04192078,55.53330065
Mainz,de Bundesliga,2019/2020,42,446,44.3,1650.150513,45.64750186,44.08175102,43.02102605
Mainz,de Bundesliga,2018/2019,44,482,48.4,1597.117676,50.83851674,49.96167284,49.02285534
Mainz,de Bundesliga,2017/2018,38,417,35.3,1644.215332,34.53294787,32.54461279,31.90680758
Malaga,es La Liga,2017/2018,23,397,33.4,1723.176025,40.98075808,37.56938352,38.04084245
Mallorca,es La Liga,2019/2020,39,409,39.2,1563.561035,44.41267948,43.44982919,43.13843545
Man City,eng Premier League,2019/2020,100,730,93,2037.324097,87.99312494,94.83913449,96.64185489
Man City,eng Premier League,2018/2019,91,680,82,1970.774658,77.22700305,84.32594013,86.13277749
Man City,eng Premier League,2017/2018,103,665,80.1,1864.519409,72.42871807,80.54773712,82.01841857
Man United,eng Premier League,2019/2020,65,528,59.4,1838.169556,57.33887757,59.69668745,60.41602333
Man United,eng Premier League,2018/2019,65,518,59.6,1880.966309,60.94142964,62.49294092,62.02149854
Man United,eng Premier League,2017/2018,67,518,57,1855.579102,54.30132745,56.30782732,57.34035999
Marseille,fr Ligue 1,2019/2020,38,371,34.2,1637.498047,34.27466379,34.05974551,32.93491304
Marseille,fr Ligue 1,2018/2019,59,532,52.4,1763.888306,56.94754819,53.44221272,52.01467145
Marseille,fr Ligue 1,2017/2018,79,629,72.2,1695.663574,72.91977164,74.38008835,74.01916309
Metz,fr Ligue 1,2019/2020,27,305,27.3,1523.074219,26.04160879,25.58948641,24.85682968
Metz,fr Ligue 1,2017/2018,33,448,37.9,1528.854736,39.03970836,36.82626319,36.02426891
Milan,it Serie A,2019/2020,60,611,60.3,1711.01709,58.71025547,59.77658521,59.95760972
Milan,it Serie A,2018/2019,52,580,48.3,1719.434204,49.0736977,49.7293452,49.5275224
Milan,it Serie A,2017/2018,54,633,54.4,1678.970459,57.71865989,56.82774825,57.11703622
Monaco,fr Ligue 1,2019/2020,44,371,48,1563.97998,42.59673014,44.03135877,43.85114539
Monaco,fr Ligue 1,2018/2019,38,475,48.9,1769.484375,46.36070964,46.28939156,45.97528007
Monaco,fr Ligue 1,2017/2018,83,496,61.5,1872.299194,54.71868741,54.75150085,54.93593809
Montpellier,fr Ligue 1,2019/2020,33,350,32,1618.874878,37.46625275,35.16532212,34.69781497
Montpellier,fr Ligue 1,2018/2019,50,499,45.3,1591.1427,48.37200905,46.14974047,46.25958057
Montpellier,fr Ligue 1,2017/2018,36,501,42.4,1556.655884,39.96291575,39.49140329,37.94852654
Nantes,fr Ligue 1,2019/2020,23,335,27.8,1570.483154,28.13514852,27.13895655,26.05519373
Nantes,fr Ligue 1,2018/2019,47,521,47.8,1576.296509,47.76462952,45.39157031,44.27442992
Nantes,fr Ligue 1,2017/2018,36,522,43.3,1592.633667,43.74164226,41.07540338,40.57238356
Napoli,it Serie A,2019/2020,60,682,62.5,1803.532593,62.32736105,61.02805581,60.76957864
Napoli,it Serie A,2018/2019,73,702,68.3,1854.480469,57.33677538,60.97776174,61.22231152
Napoli,it Serie A,2017/2018,73,651,66.6,1862.00647,60.20699319,64.72078623,65.52130968
Newcastle,eng Premier League,2019/2020,38,397,33.1,1715.615112,37.1783826,36.69401264,35.3448907
Newcastle,eng Premier League,2018/2019,41,433,38.8,1666.904419,43.89516792,42.79239298,42.95942235
Newcastle,eng Premier League,2017/2018,38,453,42.4,1621.080933,43.65353792,44.27868905,43.92208388
Nice,fr Ligue 1,2019/2020,41,331,35.2,1597.236694,34.22729689,34.54285537,33.54762565
Nice,fr Ligue 1,2018/2019,27,447,44.3,1637.349243,42.89976429,40.99895158,40.47462214
Nice,fr Ligue 1,2017/2018,52,491,51.7,1716.340454,46.95682297,47.66115727,46.21416088
Nimes,fr Ligue 1,2019/2020,29,350,29.7,1571.491089,32.18186035,31.07931733,29.56367563
Nimes,fr Ligue 1,2018/2019,55,519,47.9,1536.781372,49.39718901,47.63455507,46.11807398
Norwich,eng Premier League,2019/2020,25,409,38,1630.939087,40.00542505,40.55347086,39.38026605
Nuernberg,de Bundesliga,2018/2019,25,346,33.1,1500.965088,35.92940128,35.94172737,34.30392624
Osasuna,es La Liga,2019/2020,46,453,44.5,1638.091919,49.63946092,47.70205626,48.29780754
Paderborn,de Bundesliga,2019/2020,37,424,38.6,1499.032593,38.27699789,39.50632536,38.38185857
Paris SG,fr Ligue 1,2019/2020,71,440,70.9,1825.52832,58.34596026,62.96144842,65.1737432
Paris SG,fr Ligue 1,2018/2019,103,558,91.1,1878.988403,72.58625154,78.09229959,79.01926372
Paris SG,fr Ligue 1,2017/2018,100,637,89.1,1874.653931,66.8736078,73.03084446,74.08088896
Parma,it Serie A,2019/2020,53,453,46.7,1498.667725,39.57013839,40.72147243,40.89618544
Parma,it Serie A,2018/2019,40,353,38.5,1479.929321,37.50773626,39.25720232,37.64812123
Rayo Vallecano,es La Liga,2018/2019,40,446,40.9,1607.830933,48.38030022,47.9917027,48.1271533
RB Leipzig,de Bundesliga,2019/2020,81,539,70.9,1781.523193,63.58524357,65.71086759,65.27429106
RB Leipzig,de Bundesliga,2018/2019,63,487,61,1690.298706,59.30258028,62.92139084,61.98808065
