squad,comp,season,goals,shots,xg_statsbomb,elo,xg_location,xg_header,xg_buildup
Verona,it Serie A,2019/2020,45,439,49.1,1429.99585,51.55960365,50.28983973,50.3513928
Verona,it Serie A,2017/2018,30,362,34.3,1517.58252,32.79329455,33.39403704,33.02524037
Villarreal,es La Liga,2019/2020,62,474,57,1729.056885,57.35614774,59.39828511,59.64154487
Villarreal,es La Liga,2018/2019,47,481,50.7,1759.32959,53.07070692,54.69281144,54.49394177
Villarreal,es La Liga,2017/2018,56,491,52.2,1792.859863,44.10831428,45.4896068,45.48088702
Watford,eng Premier League,2019/2020,35,410,45.1,1685.240112,48.0512102,48.9763535,48.91856627
Watford,eng Premier League,2018/2019,51,434,48,1622.404297,44.41080064,46.87536662,46.64049312
Watford,eng Premier League,2017/2018,42,445,44.8,1601.524292,48.12394358,47.42071789,46.97686383
Werder,de Bundesliga,2019/2020,40,419,41.4,1717.329468,41.39550647,40.33520627,40.01940478
Werder,de Bundesliga,2018/2019,57,453,49.7,1655.161499,48.84235868,49.75999692,49.6897274
Werder,de Bundesliga,2017/2018,34,437,40,1700.442993,39.44935256,37.08047565,35.99385787
West Brom,eng Premier League,2017/2018,31,394,34.4,1642.990112,42.72390784,39.20827486,38.48106946
West Ham,eng Premier League,2019/2020,49,414,46.2,1729.404663,53.5339435,52.67414405,51.51908456
West Ham,eng Premier League,2018/2019,51,437,49.1,1669.810669,50.17467929,48.59692788,47.63726938
West Ham,eng Premier League,2017/2018,48,372,37.3,1670.422607,39.32516679,39.27730897,38.78092535
Wolfsburg,de Bundesliga,2019/2020,48,466,47.3,1704.165771,51.20234878,49.35935147,48.38162793
Wolfsburg,de Bundesliga,2018/2019,59,409,46.3,1600.706055,48.18596122,47.95966078,48.04374001
Wolfsburg,de Bundesliga,2017/2018,36,349,39.2,1679.40271,32.87251501,32.63617035,32.57484942
Wolves,eng Premier League,2019/2020,49,453,47.1,1719.643433,51.87933798,51.66676385,52.29030745
Wolves,eng Premier League,2018/2019,46,470,49.9,1589.282959,52.37421228,51.21790575,50.78151542
